var_1	jan	feb	mar	apr	may	jun	jul	aug	sep	oct	nov	dec
1	7:20/4:39	7:06/5:1	6:29/5:48	6:39/7:21	5:54/7:53	5:27/8:21	5:29/8:31	5:53/8:11	6:24/7:27	6:53/6:37	6:27/4:52	7:01/4:29
2	7:20/4:39	7:06/5:14	6:28/5:49	6:37/7:22	5:53/7:54	5:27/8:22	5:29/8:31	5:54/8:10	6:24/7:26	6:54/6:36	6:28/4:51	7:02/4:29
3	7:20/4:40	7:05/5:16	6:26/5:50	6:36/7:23	5:52/7:55	5:26/8:23	5:30/8:31	5:55/8:09	6:25/7:24	6:55/6:34	6:29/4:49	7:03/4:29
4	7:20/4:41	7:03/5:17	6:25/5:51	6:34/7:24	5:50/7:56	5:26/8:23	5:31/8:30	5:56/8:07	6:26/7:23	6:56/6:32	6:30/4:48	7:04/4:29
5	7:20/4:42	7:02/5:18	6:23/5:52	6:32/7:26	5:49/7:57	5:26/8:24	5:31/8:30	5:57/8:06	6:27/7:21	6:57/6:31	6:32/4:47	7:05/4:29
6	7:20/4:43	7:01/5:19	6:21/5:53	6:31/7:27	5:48/7:58	5:25/8:25	5:32/8:30	5:58/8:05	6:28/7:19	6:58/6:29	6:33/4:46	7:06/4:29
7	7:20/4:44	7:00/5:21	6:20/5:55	6:29/7:28	5:47/7:59	5:25/8:25	5:32/8:29	5:59/8:04	6:29/7:18	6:59/6:28	6:34/4:45	7:07/4:28
8	7:19/4:45	6:59/5:22	7:18/6:56	6:28/7:29	5:46/8:00	5:25/8:26	5:33/8:29	6:00/8:03	6:30/7:16	7:00/6:26	6:35/4:44	7:08/4:28
9	7:19/4:46	6:58/5:23	7:17/6:57	6:26/7:30	5:45/8:01	5:25/8:26	5:34/8:29	6:01/8:01	6:31/7:14	7:01/6:24	6:36/4:43	7:09/4:29
10	7:19/4:47	6:57/5:24	7:15/6:58	6:24/7:31	5:44/8:02	5:25/8:27	5:34/8:28	6:02/8:00	6:32/7:13	7:02/6:23	6:38/4:42	7:10/4:29
11	7:19/4:49	6:56/5:25	7:13/6:59	6:23/7:32	5:43/8:03	5:24/8:27	5:35/8:28	6:03/7:59	6:33/7:11	7:03/6:21	6:39/4:41	7:10/4:29
12	7:18/4:50	6:54/5:2	7:12/7:00	6:21/7:33	5:41/8:04	5:24/8:28	5:36/8:27	6:04/7:57	6:34/7:09	7:05/6:20	6:40/4:40	7:11/4:29
13	7:18/4:51	6:53/5:28	7:10/7:01	6:20/7:34	5:40/8:05	5:24/8:28	5:37/8:27	6:05/7:56	6:35/7:08	7:06/6:18	6:41/4:39	7:12/4:29
14	7:18/4:52	6:52/5:29	7:09/7:02	6:18/7:35	5:40/8:06	5:24/8:29	5:37/8:26	6:06/7:55	6:36/7:06	7:07/6:17	6:42/4:38	7:13/4:30
15	7:18/4:53	6:51/5:30	7:07/7:03	6:17/7:36	5:39/8:07	5:24/8:29	5:38/8:26	6:07/7:53	6:37/7:04	7:08/6:15	6:43/4:38	7:13/4:30
16	7:17/4:54	6:49/5:32	7:05/7:04	6:15/7:37	5:38/8:08	5:24/8:29	5:39/8:25	6:08/7:52	6:38/7:02	7:09/6:14	6:45/4:37	7:14/4:30
17	7:17/4:55	6:48/5:33	7:04/7:05	6:14/7:38	5:37/8:09	5:24/8:30	5:40/8:24	6:09/7:50	6:39/7:01	7:10/6:12	6:46/4:36	7:15/4:30
18	7:16/4:56	6:47/5:34	7:02/7:07	6:12/7:39	5:36/8:10	5:2/8:30	5:41/8:24	6:10/7:49	6:40/6:59	7:11/6:11	6:47/4:35	7:15/4:31
19	7:16/4:57	6:45/5:35	7:00/7:08	6:11/7:40	5:35/8:11	5:2/8:30	5:42/8:23	6:11/7:48	6:41/6:57	7:12/6:09	6:48/4:35	7:16/4:31
20	7:15/4:59	6:44/5:36	6:59/7:09	6:09/7:41	5:34/8:12	5:25/8:31	5:43/8:22	6:12/7:46	6:42/6:56	7:13/6:08	6:49/4:34	7:16/4:32
21	7:15/5:00	6:42/5:37	6:57/7:10	6:08/7:42	5:33/8:12	5:25/8:31	5:44/8:21	6:13/7:45	6:43/6:54	7:14/6:06	6:50/4:33	7:17/4:32
22	7:14/5:01	6:41/5:39	6:55/7:11	6:06/7:43	5:33/8:13	5:25/8:31	5:45/8:21	6:14/7:43	6:44/6:52	7:15/6:05	6:52/4:33	7:17/4:33
23	7:13/5:02	6:40/5:40	6:54/7:12	6:05/7:44	5:32/8:14	5:26/8:31	5:46/8:20	6:15/7:42	6:45/6:51	7:17/6:03	653:/4:32	7:18/433:
24	7:13/5:03	6:38/5:41	6:52/7:13	6:03/7:45	5:31/8:15	5:26/8:31	5:47/8:19	6:16/7:	6:46/6:49	7:18/6:02	6:54/4:32	7:18/4:34
25	7:12/5:05	6:37/5:42	6:50/7:14	6:02/7:46	5:31/8:16	5:26/8:31	5:48/8:18	6:17/7:38	6:47/6:47	7:19/6:01	6:55/4:31	7:18/4:34
26	7:11/5:06	6:35/5:43	6:49/7:15	6:01/7:47	5:30/8:17	5:27/8:31	5:48/8:17	6:18/7:37	6:48/6:46	7:20/5:59	6:56/4:31	7:18/4:35
27	7:10/5:07	6:34/5:44	6:47/7:16	5:59/7:49	5:29/8:18	5:27/8:31	5:48/8:16	6:19/7:35	6:49/6:44	7:21/5:58	6:57/4:30	7:19/4:36
28	7:10/5:08	6:32/5:46	6:45/7:17	5:58/7:50	5:29/8:18	5:27/8:31	5:49/8:15	6:20/7:34	6:50/6:42	7:22/5:57	6:58/4:30	7:19/4:36
