incident_key,month,day,year,hour,minute,sunrise_hour,sunrise_minute,sunset_hour,sunset_minute,daylight,boro,loc_of_occur_desc,precinct,jurisdiction_code,loc_classfctn_desc,location_desc,statistical_murder_flag,perp_age_group,perp_sex,perp_race,vic_age_group,vic_sex,vic_race,x_coord_cd,y_coord_cd,latitude,longitude,new_georeferenced_column,lon_lat
312957372,September,15,2025,17,32,6,37,19,4,Daytime,MANHATTAN,OUTSIDE,25,0,STREET,(null),FALSE,18-24,M,BLACK,<18,M,BLACK,1002444,231358,40.80169,-73.934282,POINT (-73.934282 40.80169),NA
303829750,March,28,2025,23,50,6,45,19,17,Nighttime,MANHATTAN,OUTSIDE,32,2,HOUSING,MULTI DWELL - APT BUILD,FALSE,18-24,M,BLACK,25-44,M,BLACK HISPANIC,999874,238251,40.820614,-73.94355,POINT (-73.94355 40.820614),NA
308965098,July,2,2025,2,50,5,29,20,31,Nighttime,MANHATTAN,OUTSIDE,32,0,STREET,(null),FALSE,25-44,M,BLACK,45-64,M,BLACK,997329,233660,40.808017,-73.952753,POINT (-73.952753 40.808017),NA
307841555,June,10,2025,2,37,5,25,20,27,Nighttime,MANHATTAN,OUTSIDE,33,0,STREET,(null),FALSE,25-44,M,BLACK,25-44,M,BLACK,1002521,246742,40.843916,-73.933965,POINT (-73.933965 40.843916),NA
299470064,January,15,2025,1,0,7,18,16,53,Nighttime,MANHATTAN,OUTSIDE,34,0,STREET,(null),FALSE,45-64,M,BLACK HISPANIC,25-44,M,WHITE HISPANIC,1003614,255446,40.86779354,-73.92998844,POINT (-73.92998844 40.86779354),NA
311757223,August,24,2025,1,41,6,16,19,0,Nighttime,MANHATTAN,OUTSIDE,33,0,STREET,(null),FALSE,<18,M,BLACK,<18,M,BLACK,1001229,245822,40.841393,-73.938634,POINT (-73.938634 40.841393),NA
312521186,September,7,2025,21,8,6,29,19,18,Nighttime,MANHATTAN,OUTSIDE,23,0,HOUSING,MULTI DWELL - PUBLIC HOUS,FALSE,(null),(null),(null),18-24,M,WHITE HISPANIC,1001245,228856,40.794825,-73.938619,POINT (-73.938619 40.794825),NA
300131386,January,27,2025,23,15,7,10,17,7,Nighttime,MANHATTAN,OUTSIDE,25,2,HOUSING,MULTI DWELL - PUBLIC HOUS,FALSE,(null),(null),(null),25-44,M,BLACK,1001768,234797,40.811131,-73.936716,POINT (-73.936716 40.811131),NA
306610278,May,17,2025,17,49,5,37,20,9,Daytime,MANHATTAN,OUTSIDE,23,0,STREET,(null),TRUE,18-24,M,BLACK,<18,M,BLACK,1000275,229995,40.79794458,-73.94212156,POINT (-73.94212156 40.79794458),NA
309560883,July,13,2025,14,33,5,37,20,27,Daytime,MANHATTAN,OUTSIDE,26,2,HOUSING,MULTI DWELL - PUBLIC HOUS,FALSE,(null),(null),(null),<18,M,BLACK,996894,236589,40.816058,-73.95432,POINT (-73.95432 40.816058),NA
309415108,July,10,2025,20,54,5,34,20,28,Nighttime,MANHATTAN,OUTSIDE,25,0,STREET,(null),FALSE,(null),(null),(null),25-44,F,WHITE HISPANIC,1001949,231211,40.801288,-73.936073,POINT (-73.936073 40.801288),NA
305163494,April,22,2025,22,27,6,6,19,43,Nighttime,MANHATTAN,OUTSIDE,28,0,STREET,(null),TRUE,25-44,M,BLACK,45-64,F,BLACK,997853,230889,40.800413,-73.950866,POINT (-73.950866 40.800413),NA
308834266,June,29,2025,22,13,5,28,20,31,Nighttime,MANHATTAN,OUTSIDE,6,0,STREET,(null),FALSE,<18,M,BLACK,<18,F,BLACK,983652,206379,40.73315,-74.002157,POINT (-74.002157 40.73315),NA
303275049,March,20,2025,0,59,6,59,19,9,Nighttime,MANHATTAN,OUTSIDE,34,0,STREET,(null),FALSE,25-44,M,WHITE HISPANIC,25-44,M,BLACK HISPANIC,1006609,255632,40.868306,-73.919159,POINT (-73.919159 40.868306),NA
309605579,July,14,2025,14,30,5,37,20,26,Daytime,MANHATTAN,OUTSIDE,32,2,HOUSING,MULTI DWELL - PUBLIC HOUS,TRUE,25-44,F,BLACK,25-44,F,BLACK,1000000,238478,40.821238,-73.943094,POINT (-73.943094 40.821238),NA
311227345,August,14,2025,22,10,6,6,19,55,Nighttime,MANHATTAN,OUTSIDE,7,0,STREET,(null),FALSE,<18,M,BLACK HISPANIC,<18,F,BLACK,989137,201443,40.719599,-73.982369,POINT (-73.982369 40.719599),NA
299382241,January,13,2025,21,15,7,18,16,51,Nighttime,MANHATTAN,OUTSIDE,30,0,STREET,(null),FALSE,18-24,M,BLACK HISPANIC,25-44,M,BLACK HISPANIC,997512,239558,40.824207,-73.95208,POINT (-73.95208 40.824207),NA
307581457,June,4,2025,21,15,5,26,20,23,Nighttime,MANHATTAN,OUTSIDE,10,2,HOUSING,MULTI DWELL - PUBLIC HOUS,TRUE,(null),(null),(null),18-24,M,BLACK,982756,210139,40.74347,-74.005392,POINT (-74.005392 40.74347),NA
300566188,February,4,2025,12,20,7,3,17,17,Daytime,MANHATTAN,OUTSIDE,10,2,HOUSING,MULTI DWELL - PUBLIC HOUS,FALSE,(null),(null),(null),25-44,M,BLACK,982756,210139,40.74347,-74.005392,POINT (-74.005392 40.74347),NA
306651766,May,18,2025,23,43,5,36,20,10,Nighttime,MANHATTAN,OUTSIDE,28,0,STREET,(null),TRUE,18-24,M,BLACK,25-44,M,BLACK,997566,234085,40.809184,-73.951896,POINT (-73.951896 40.809184),NA
313251172,September,20,2025,10,37,6,42,18,56,Daytime,MANHATTAN,OUTSIDE,32,0,STREET,(null),FALSE,65+,M,BLACK,25-44,M,BLACK,1001186,241442,40.829371,-73.938802,POINT (-73.938802 40.829371),NA
306675852,May,19,2025,14,12,5,35,20,11,Daytime,MANHATTAN,OUTSIDE,28,2,HOUSING,MULTI DWELL - PUBLIC HOUS,FALSE,(null),(null),(null),<18,M,WHITE HISPANIC,998746,230395,40.799054,-73.947644,POINT (-73.947644 40.799054),NA
310357834,July,28,2025,18,28,5,49,20,15,Daytime,MANHATTAN,INSIDE,18,0,COMMERCIAL,(null),FALSE,25-44,M,BLACK,25-44,M,WHITE,991647,215481,40.758128,-73.973298,POINT (-73.973298 40.758128),NA
303772633,March,27,2025,11,15,6,47,19,16,Daytime,MANHATTAN,OUTSIDE,25,0,STREET,(null),FALSE,18-24,M,BLACK,25-44,M,WHITE,1000482,230365,40.79897,-73.941374,POINT (-73.941374 40.79897),NA
308755262,June,27,2025,2,0,5,27,20,31,Nighttime,MANHATTAN,OUTSIDE,26,0,HOUSING,MULTI DWELL - PUBLIC HOUS,FALSE,(null),(null),(null),18-24,M,BLACK HISPANIC,997083,236928,40.816989,-73.953638,POINT (-73.953638 40.816989),NA
